id,created_at,text
1279888400208683008,2020-07-05 21:22:28,"Watch out: The U.S. Senate is trying to spend $7 billion to start a fight with China — in the face of desperate social need here at home. 

Call your representative and tell them to stop this insanity. https://t.co/r4sX6hvr6Y"
1275506030433038337,2020-06-23 19:08:30,"As America confronts injustice, @Safeway, @RalphsGrocery and police unions are bankrolling a ballot measure that will take us backwards. Tell them to do the right thing and STOP the Prison Spending Scam. https://t.co/10i4K29pvv"
1275482371702378496,2020-06-23 17:34:29,"He's ignorant about the need for COVID-19 testing. He's ignorant about the need for nuclear treaties. 

We can't trust Trump with our future. https://t.co/LRtWNFL9kV"
1274369293036081152,2020-06-20 15:51:30,The international arms trade continues with the US leading the way: selling murderous weapons for filthy lucre. https://t.co/gb7b14PnDO
1274175651633696768,2020-06-20 03:02:03,"RT @BulletinAtomic: Dive into these important recommendations for a safer world in this excerpt from “The Button,” the new book from former…"
1271143925466578945,2020-06-11 18:15:03,".@realDonaldTrump continues to dismantle arms control and push for more dangerous nuclear weapons. 

Note: These nuclear machines can end human civilization in a matter of hours. 

Wake up! We have a madman in the White House.
https://t.co/vQvhSdeWMg"
1270340626291122176,2020-06-09 13:03:01,RT @nukestrat: Powerful statement by @SecDef19 on this evening’s #ChainReaction2020 : “Our nuclear weapons policy is obsolete and dangerous…
1268741714967097344,2020-06-05 03:09:31,"RT @SecDef19: I am outraged at the deplorable behavior of our President and Defense Secretary Esper, threatening to use American military f…"
1268692318179082242,2020-06-04 23:53:14,"George Will, a prominent conservative, issues a scathing attack on the President and his Senate acolytes.

Mr. Trump: The end is nigh.  
https://t.co/i4mFfvCpq9"
1266457366419009536,2020-05-29 19:52:20,"Trump says terminate our relationship with @WHO. I say terminate our relationship with Trump.

VOTE like your life depends on it — because it does.
https://t.co/ZgW5n2KSOG"
1265784674447572993,2020-05-27 23:19:18,"RT @XavierBecerra: NEW: We’re suing the Trump administration to challenge its reckless rollback of America’s clean car standards. 

Preside…"
1265774811252355072,2020-05-27 22:40:06,"With all the nonsense and disinformation on social media, listen to these two guys. They know what they are talking about. https://t.co/kPnQNTDGHd"
1265759637048975362,2020-05-27 21:39:48,"Thank God for the 23 states suing to stop Trump’s insane move to make American cars more polluting. Lord knows, we already have enough pollution coming from his mouth. 
https://t.co/GqbHYN7Ay1"
1265379902099841024,2020-05-26 20:30:52,High-speed rail is a jobs engine that we need more than ever. https://t.co/nDmNjDXqvB
1264601124255887360,2020-05-24 16:56:17,"Trump blames China. I blame Trump. 

Why? For failing to mobilize America’s powerful capacity for testing, tracing, and isolating those exposed. If he had done so, America would be fully open today — not reeling deeper into economic uncertainty. 
https://t.co/LJu1gpmzMc"
1264236015146819584,2020-05-23 16:45:29,SHEER MADNESS!!! https://t.co/eJDK8sc7K7
