id,created_at,text
1278453006535659523,2020-07-01 22:18:43,"Guess who’s repeal of the Faircloth Amendment just passed the House! 😌 

Faircloth has blocked construction of new public housing in the United States for 20+ YEARS. Repeal is key to tackling our housing crisis.

THANK YOU to the advocates who‘ve worked so hard to get here. https://t.co/JkcJvNBr72"
1278444484695654404,2020-07-01 21:44:52,The @EdMarkey meme team is really something else 😂 https://t.co/kzXkHE3bbF
1278442521337749504,2020-07-01 21:37:04,"@iTeachGatsby Thank you so much, and thanks for being open to new perspectives. Grateful to have earned your support 💜"
1278440953808896006,2020-07-01 21:30:50,@kendallybrown Please tell your mom I say thank you and she’s welcome to our team anytime! 💜☺️
1278430377141579777,2020-07-01 20:48:48,🤣 when you don’t realize you’re debating a New Yorker (@RepMaxRose) https://t.co/xUHRkjcWoL
1278381750109036546,2020-07-01 17:35:35,"One of the ways the GOP articulates their racism today is their idea that some citizens are “real” people and others aren’t.

This is the argument they make against DC statehood: that this largely Black community doesn’t qualify as “real people.”

So, who is a “real” person? 🤔 https://t.co/QzyKjH6UGF"
1278376081603600385,2020-07-01 17:13:03,https://t.co/yOxvgQxhnA https://t.co/6lqpXGW3RW
1278352724212568064,2020-07-01 15:40:14,"How’s that “anti-AOC” advertising going, Oklahoma GOP?

Oh, it ended with voters supporting Medicaid expansion? Nice. 😊 https://t.co/Xkcw7PeiCJ"
1278350730915708930,2020-07-01 15:32:19,"When you speak truth to power, power fights back.

Lobbyists &amp; conservatives have been pouring millions of dollars against our sisterhood’s re-election campaigns.

Why? Because we’re effective. Join the Squad Victory Fund to protect the fight for justice:
https://t.co/qcIJN79JPH"
1278123971033038848,2020-07-01 00:31:15,RT @hollyotterbein: Scoop: A dozen lawmakers have signed onto the hotly debated letter spearheaded by Alexandria Ocasio-Cortez that calls f…
1278107955649490944,2020-06-30 23:27:37,"RT @SenSanders: Israel's annexation of occupied territory would be a disaster for international law, self-determination, freedom and equali…"
