id,created_at,text
1305339574407892992,2020-09-14 02:56:21,"President Trump has hosted his first indoor rally since June with a packed Nevada crowd, with few wearing masks, in open defiance of state regulations and his own administration’s pandemic health guidelines. https://t.co/UxEXmmejMf"
1305336485491740673,2020-09-14 02:44:04,RT @AP_Sports: Dominic Thiem won his 1st Grand Slam title at the U.S. Open with the 1st comeback from two sets down in that tournament's fi…
1305324663308943361,2020-09-14 01:57:06,RT @AP_Top25: Sun Belt rivals Louisiana-Lafayette and Appalachian State were among 10 new teams ranked Sunday in the first regular-season A…
1305318663764013056,2020-09-14 01:33:15,"U.S. Gulf Coast on alert as Tropical Storm Sally is forecast to become a hurricane on Monday and reach shore by early Tuesday, bringing dangerous weather conditions to a region stretching from Morgan City, Louisiana, to Ocean Springs, Mississippi. https://t.co/aVgqOZL9KK"
1305307699224211456,2020-09-14 00:49:41,"RT @AP_NFL: Tom Brady threw a costly pick-six in his Bucs debut and Drew Brees won the matchup of quarterbacks in their 40s.

By @brettmart…"
1305302820955082752,2020-09-14 00:30:18,BREAKING: Dominic Thiem outlasts Alexander Zverev to become first man in 71 years to win U.S. Open after dropping first two sets of final. https://t.co/k9LkvtFDOb
1305301936007241728,2020-09-14 00:26:47,AP source: TikTok owner chooses Oracle over Microsoft in proposed sale forced by Trump administration. https://t.co/H43UPIQ6SO
1305293829000564740,2020-09-13 23:54:34,"Microsoft says its bid to buy popular video-sharing app TikTok has been rejected, removing a leading suitor for the Chinese-owned app a week before President Trump promises to follow through with a plan to ban it in the U.S. https://t.co/PEBk3sj3q4"
1305284272165711879,2020-09-13 23:16:36,"RT @AP_Sports: Albert Pujols hits 660th career homer, ties Willie Mays for fifth place on MLB's career list. 

@pgraham34 &gt;&gt; https://t.co/U…"
1305263125374144513,2020-09-13 21:52:34,"“We lost track of time because you can’t see the sun and you’ve been up for so many days."" Firefighters work to get an upper hand on sprawling blazes across the West Coast that have left 33 dead and have shrouded cities and towns in heavy smoke. https://t.co/Q9vvpxUaVQ"
1305255686994104320,2020-09-13 21:23:00,"BREAKING: Cubs’ Alec Mills completes no-hitter against Brewers, 16th in Chicago franchise history and second in MLB this season. https://t.co/RxTKdjvLoz"
1305249661817675776,2020-09-13 20:59:04,"Opening their seasons in empty stadiums due to the virus, NFL players knelt, raised fists or stayed off the field for the “Star-Spangled Banner” and the Black anthem “Lift Every Voice and Sing” as teams brought racial injustice to the forefront. https://t.co/oGuhu69s60"
1305239356249120771,2020-09-13 20:18:07,"In central Brazil, drought, high temperatures and strong winds have spread massive wildfires that have burned nearly 5,800 square miles in the Pantanal region since the start of August. The area is renowned for wildlife diversity. https://t.co/2bxEJDbGiP"
1305229945636032521,2020-09-13 19:40:43,"RT @AP_NFL: Brady, Brees to make history in Bucs-Saints Week 1 opener.

by @brettmartel
 https://t.co/NAa84ghz0h"
1305218295927373825,2020-09-13 18:54:26,RT @AP_Top25: POLL ALERT: Clemson stays at No. 1 as 10 new teams join an AP Top 25 stripped of schools not scheduled to play this fall; Lou…
1305217943354200064,2020-09-13 18:53:02,RT @AP_Sports: There will be a first-time Grand Slam champion at the U.S. Open after Dominic Thiem and Alexander Zverev meet in the men's f…
1305212199980462080,2020-09-13 18:30:12,"RT @APWestRegion: As the flames closed in on a tiny Northern California town, some residents escaped a snarled traffic jam and fled to a mu…"
1305208945745821703,2020-09-13 18:17:16,"Israeli Prime Minister Benjamin Netanyahu announces a strict new countrywide lockdown amid a surge in virus cases. Beginning Friday, schools, restaurants, malls and hotels among other businesses will shut down and restrictions on movement will be imposed. https://t.co/NUtJHvkAGp"
1305205258751180803,2020-09-13 18:02:37,"A sheriff’s office in Georgia says it has fired a deputy seen on video repeatedly punching a Black man during a traffic stop. The Clayton County Sheriff’s Office says the deputy, whom it did not name, was fired for using excessive force. https://t.co/FRv9zrMBdy"
1305198825720680453,2020-09-13 17:37:04,"The death toll from wildfires ravaging the West Coast has risen to 33, authorities say. The flames have driven tens of thousands of people from their homes from California to Oregon and cast a shroud of smoke over the region. https://t.co/M3iOLNikTm"
1305195851879505922,2020-09-13 17:25:15,"They waited for years to get cleared to come to the U.S. Now, Central Americans who are part of a refugee program are facing major hurdles joining family in the United States because of the coronavirus pandemic. https://t.co/F6igelNuG3"
1305195542713118720,2020-09-13 17:24:01,RT @APEastRegion: A lock of Abraham Lincoln’s hair and with a blood-stained telegram about his 1865 assassination were sold at auction for…
1305187746034724864,2020-09-13 16:53:02,"From Maine to Hawaii, Alabama to Wyoming, get the facts about early voting in your state. #Election2020 https://t.co/uXp2nZMCqN"
1305180981951967232,2020-09-13 16:26:09,RT @APEastRegion: The grandson of U.S. President Warren G. Harding wants to get the Republican's remains exhumed. He already has matched wi…
1305170802338390017,2020-09-13 15:45:42,"Among AP's #WeekendReads:
• From a stable job to living in a tent: One man's struggle during the pandemic.
• Trump's talk of a new secret weapon has experts guessing.
• A pared down, mostly virtual New York Fashion Week is set to kick off.
https://t.co/ToNxeOOPF4"
1305161598387073024,2020-09-13 15:09:08,"Six months after the COVID curtain fell in the United States, American life is changed, polarization is ever-present, and the struggle to understand what’s been lost is everywhere, @anthonyted reports. https://t.co/uH9cYnJLoi"
1305155163255197697,2020-09-13 14:43:34,"Mainline Protestant denominations rarely garner national attention during an election season. This year, church leaders say many pastors are encouraging their congregations to act against racism and voter suppression. https://t.co/TF3OF61NPT"
1305152045347897344,2020-09-13 14:31:10,"Many teachers are choosing not to return to the classroom because of the coronavirus threat, and schools across the U.S. are scrambling to find replacements. That sometimes means lowering certification requirements to help get substitutes in the door. https://t.co/FEm3y4Otm6"
1305146460795797508,2020-09-13 14:08:59,"For Black environmental scientists, worrying about whether they are likely to be harassed or asked to justify their presence while doing fieldwork is a familiar concern. https://t.co/0EEQKsUJuh"
1305143529769926659,2020-09-13 13:57:20,Former New York City Mayor Michael Bloomberg is committing at least $100 million to help Joe Biden’s presidential campaign in Florida. The spending reflects Democrats' concerns about the tight race in a crucial battleground state. https://t.co/9hWSkZWsjo
1305133147529588736,2020-09-13 13:16:05,"Top U.S. health officials delivered some mixed messages during the early days of the coronavirus outbreak, but their overall thrust was to take it seriously. President Trump had a louder megaphone, and in public he was playing down the threat. https://t.co/mhYvXaau5z"
1305121837198848006,2020-09-13 12:31:08,RT @AP_Europe: “Collateral Damage”: A former British ambassador who resigned after his unflattering appraisal of Donald Trump's White House…
1305121066575187969,2020-09-13 12:28:04,A whistleblower’s allegation that he was pressured to suppress intelligence about Russian election interference is among a number of accounts from former officials that raise questions about how seriously the administration is taking the threat.. https://t.co/z2mzPmC2n9
1305113522561585154,2020-09-13 11:58:06,An Israeli court has sentenced model Bar Refaeli to nine months of community service and her mother to 16 months in prison for failing to pay taxes on income nearing $10 million. The case has sullied the image of a once beloved national icon. https://t.co/idY4GucHOr
