id,created_at,text
1305333208830050305,2020-09-14 02:31:03,"Amazon has announced that it will hold a Career Day on September 16.

The company currently has 33,000 job openings for corporate and tech roles and says it will share ""thousands of additional hourly roles in Amazon's Operations network"" soon. https://t.co/8YyR4G6F8j"
1305325674614403078,2020-09-14 02:01:07,Zookeepers at the Saint Louis Zoo were surprised to see their oldest snake coiled around a clutch of freshly laid eggs. She hadn't been near a male in more than 15 years. https://t.co/ivytWTqe7U
1305318118231867393,2020-09-14 01:31:05,A California paleontologist has created an interactive map that allows people to see how far their hometowns have moved over 750 million years of continental drift. https://t.co/3AujiRqXYr
1305310566240718850,2020-09-14 01:01:05,"Apple has announced that it will hold an event next week, where many expect it could reveal the design of the latest iPhone or other new products https://t.co/CGVqc2qEbd"
1305303021002395649,2020-09-14 00:31:06,There could be a supersonic Air Force One prototype airplane as early as 2025 https://t.co/4agNwT1s8N
1305299001399443456,2020-09-14 00:15:07,"Gerald Ford had been vice president for less than a year when he was suddenly thrust into the Oval Office to lead a nation in crisis. See how a post-Watergate election would change the course of American politics when #RaceForWH returns, tonight at 10 p.m. ET/PT https://t.co/ZVFcYxzxSN"
1305295473457102852,2020-09-14 00:01:06,The woman best known for popularizing gender reveal parties has a message for the world: Please stop.  https://t.co/jGQDjvlU51
1305287911810772997,2020-09-13 23:31:03,"Egypt has uncovered a mysterious collection of coffins thought to contain human mummies that have been sealed inside for more than 2,500 years https://t.co/2qztlDowQZ"
1305284147745783812,2020-09-13 23:16:06,Fact check: President Trump says his coronavirus deception was Churchillian. Scholars of Churchill say he's wrong. https://t.co/X5R37gLWIQ https://t.co/JFJ81CGgFf
1305272812626685957,2020-09-13 22:31:03,A candy maker is giving away a candy factory in a nationwide treasure hunt https://t.co/jHZciD1wtE https://t.co/Pkb5wK8Cdd
1305269046338879491,2020-09-13 22:16:06,"These cars could have the longest ranges of any electric vehicles on the market.

Lucid Motors, led by ex-Tesla engineer Peter Rawlinson, has revealed its first lineup. https://t.co/KKTsOXtePT https://t.co/79PqzHVDwB"
1305265028313108483,2020-09-13 22:00:08,"Artist Sarah Ezekiel has ALS, which has left her unable to move her arms -- but she's still able to create art, using specialized software that lets her paint with her eyes: https://t.co/rNbyR5e9Jf https://t.co/8PWARmCpXd"
1305260978507046913,2020-09-13 21:44:02,"This 4-year-old and her dad raised $12,000 for hungry Americans by recreating classic movie scenes  https://t.co/st2HT3RCxC"
1305257729490116608,2020-09-13 21:31:07,"Are you having trouble voting by mail or in person? Have you received disinformation relating to voting information or the election?

Tell us your story: https://t.co/nZAXmMQ5K5"
1305250188844584962,2020-09-13 21:01:10,"The MC20 is Maserati's first supercar in 15 years. It's also the first with the Italian automaker's new ""Neptune"" engine, which can launch the MC20 from 0 to 60 in under 3 seconds. https://t.co/jbUdKPV66m https://t.co/QVzb1WqtFU"
1305245896150523904,2020-09-13 20:44:06,"He was wrongfully imprisoned for 8 years. Now, as a defense attorney, he's working to bring justice to others. https://t.co/0qeC5gdP4f https://t.co/LGa8ofte0p"
1305242628456316929,2020-09-13 20:31:07,"Recreational vehicles have been in high demand in recent months. Faced with crowded campsites, some travelers are trying to ""boondock"" by going to even more remote locations. And numerous companies have developed RVs meant for the off-road lifestyle. https://t.co/TbhjqWiMvg https://t.co/E1C5CZyNK5"
1305238834544889863,2020-09-13 20:16:02,Nintendo is bringing back a retro handheld from the 1980s https://t.co/VNne6EIhf0 https://t.co/WWVQq8DmoH
1305235299958575109,2020-09-13 20:02:00,"“We’re hoping to create legacy.”
A collective of 19 Black families recently bought more than 95 acres of land to create a safe community they intend to name Freedom, Georgia. https://t.co/toSx6gboVR https://t.co/3pBrUmLhid"
