id,created_at,text
1143661148631379970,2019-06-25 23:24:00,b'This is cruel.\nhttps://t.co/hZQ9xg9q5r'
1143641269736026113,2019-06-25 22:05:01,"b'In 2015, the Supreme Court upheld the Affordable Care Act. Since then, Trump\xe2\x80\x99s Administration has actively tried to\xe2\x80\xa6 https://t.co/60gF4qBVEt'"
1143617967063744513,2019-06-25 20:32:25,"b'We are just two days away from our first presidential debate on Thursday, June 27. Supporters across the country ar\xe2\x80\xa6 https://t.co/3lE0yC8Y3t'"
1143595464639557633,2019-06-25 19:03:00,"b'My upbringing taught me that, when we come from different backgrounds and cultures, we contribute to the fabric of\xe2\x80\xa6 https://t.co/8yMx9jJTWS'"
1143585404593090561,2019-06-25 18:23:01,"b'Six years ago, the Supreme Court gutted the Voting Rights Act. Here is what I will do as president to protect our r\xe2\x80\xa6 https://t.co/p2qiWDHd0y'"
1143575854464847873,2019-06-25 17:45:04,b'What is happening at the border is a human rights abuse. It is immoral and wrong. https://t.co/6DflpbtTeL'
1143520426288701440,2019-06-25 14:04:49,b'We will leave no one to fight alone. Fight with us: https://t.co/Q4H9Y0VuzC #ForThePeople https://t.co/F0jdxJQeYd'
1143319647774806019,2019-06-25 00:47:00,"b'Trump said he was going to protect workers, that he was going to support them, and lift them up. Instead, he passed\xe2\x80\xa6 https://t.co/sVOnPLoOJ2'"
1143293990692954113,2019-06-24 23:05:03,"b'We have a president who wants to ""make America great again."" Does \xe2\x80\x9cagain\xe2\x80\x9d mean back to before schools were integrat\xe2\x80\xa6 https://t.co/6jX3dwlxCV'"
1143265289569742849,2019-06-24 21:11:00,b'Here\xe2\x80\x99s what life would look like under a Harris Administration: We will immediately reenter the Paris Agreement and\xe2\x80\xa6 https://t.co/JoPVvfdIko'
1143230835308531714,2019-06-24 18:54:05,"b'We are failing a critical moral test right now. These children don\xe2\x80\x99t belong in detention in the first place, and we\xe2\x80\xa6 https://t.co/MFeF246JnY'"
1143180497935306752,2019-06-24 15:34:04,"b'Everyone deserves to be their true self, without harassment or discrimination. This matters. \nhttps://t.co/sE1ZMejyNc'"
1142991485928988672,2019-06-24 03:03:00,b'One of the last from a great generation of soldiers who defended the world against fascism. My heart goes out to Lt\xe2\x80\xa6 https://t.co/k7jXekcxTD'
1142979909050163200,2019-06-24 02:17:00,"b'And I am proud to stand with you too, @gabe_uy. Thank you for your service to this nation. I am grateful to have yo\xe2\x80\xa6 https://t.co/Q0T1n55RRo'"
1142967829513289728,2019-06-24 01:29:00,"b'I have always believed access to housing should be a fundamental right, a human right, a civil right. That\xe2\x80\x99s why I\xe2\x80\xa6 https://t.co/w6rOeTDKDv'"
1142935112679473153,2019-06-23 23:19:00,"b""Yesterday's drumline performance gave me a boost that will last for months. #ForThePeople https://t.co/aamy5LVJi8"""
1142906676514832384,2019-06-23 21:26:00,"b'Forty-seven years ago Title IX became law, opening up the doors of opportunity for women in education. However, Tit\xe2\x80\xa6 https://t.co/cQx9P4xkoK'"
1142890322046926848,2019-06-23 20:21:01,"b'Right now, we have a president who wants to ""make America great again."" Does \xe2\x80\x9cagain\xe2\x80\x9d mean back to before schools we\xe2\x80\xa6 https://t.co/VL7IO7vBxz'"
1142879244864950272,2019-06-23 19:37:00,"b'This president said he would be strong, but he takes the word of dictators and adversaries over the assessments of\xe2\x80\xa6 https://t.co/Xj3sm0oHdC'"
1142859544533618690,2019-06-23 18:18:43,b'I took on the big banks and won. I took on for-profit college scamming students and won. I took on oil companies wh\xe2\x80\xa6 https://t.co/hIDizr2rYJ'
1142822299734827009,2019-06-23 15:50:43,"b""The president doesn't deserve credit for a crisis of his own making with Iran. https://t.co/1hPp0h4rpa"""
1142789856562700288,2019-06-23 13:41:48,b'RT @CraigBrownNH: Team @KamalaHarris is ready to march at #PortsmouthPRIDE!#NHPolitics https://t.co/ZPmxYQEwJz'
1142587353145499648,2019-06-23 00:17:07,b'Drumlines and dancing - what a great day in South Carolina. \n\nThank you to everyone who came out to support us at t\xe2\x80\xa6 https://t.co/F4APklhL04'
1142585849273552896,2019-06-23 00:11:09,b'RT @Bakari_Sellers: This campaign energy palpable. HBCU thangs.....https://t.co/PmMGj7vUWb'
1142585714661629952,2019-06-23 00:10:37,"b'RT @JeruDemsas: .@KamalaHarris thanks supporters, volunteers, and the TWO drum lines that came out this hot Saturday in Columbia. https://t\xe2\x80\xa6'"
1142565428843225088,2019-06-22 22:50:00,"b'When the Supreme Court ruled on Olmstead v. L.C., they declared all Americans with disabilities deserve full inclus\xe2\x80\xa6 https://t.co/jQJwD7OxBk'"
1142563781014360064,2019-06-22 22:43:27,b'RT @BLeeForCongress: Proud to stand by @KamalaHarris and her fight to prevent the spread of HIV! \nhttps://t.co/z7lTJ5KpFD'
1142543040134963200,2019-06-22 21:21:02,b'My campaign isn\xe2\x80\x99t about philosophical debates. It\xe2\x80\x99s about what I call a \xe2\x80\x9c3 AM Agenda:\xe2\x80\x9d tangible solutions to the is\xe2\x80\xa6 https://t.co/b25HS6yBnn'
1142519950453673984,2019-06-22 19:49:17,b'RT @PPact: WATCH: @KamalaHarris responds to @CharleneCac about expanding the reach of reproductive justice \xe2\x80\x94 and shares her own story about\xe2\x80\xa6'
1142517876219416576,2019-06-22 19:41:03,"b'When I\xe2\x80\x99m president, we will restore America\xe2\x80\x99s standing and leadership in the world \xe2\x80\x94 not just with words but by our\xe2\x80\xa6 https://t.co/8KvBX9F8Vm'"
1142508428822220800,2019-06-22 19:03:30,"b'Trump is threatening to rip families apart across the country through raids and mass deportations. Children, women,\xe2\x80\xa6 https://t.co/WDPBbxZbdv'"
1142500914328158208,2019-06-22 18:33:39,"b""Here's what our America looks like. https://t.co/invof0MQ47"""
1142488946015920135,2019-06-22 17:46:05,"b'We have a president who says he wants to ""make America great again."" Does he want to take us back to before schools\xe2\x80\xa6 https://t.co/5VXViXXrv4'"
1142479235078119425,2019-06-22 17:07:30,"b'In the general election, we need a nominee who can read a rap sheet and prosecute the case against four more years\xe2\x80\xa6 https://t.co/zby1rEzGt1'"
1142456914770632709,2019-06-22 15:38:48,b'It is upon the shoulders of all who fought for civil rights that I stand as a candidate for president of the United\xe2\x80\xa6 https://t.co/XFWYlzuyUB'
