id,created_at,text
1305236800626098182,2020-09-13 20:07:58,"Remember: COVID is still out there.

Wear a mask. Get tested. Be smart."
1305153114106888192,2020-09-13 14:35:25,"Today's update on the numbers:

Of the 72,668 tests reported yesterday, 725 were positive (0.99% of total).

Total hospitalizations fell to 464.

Sadly, there were 6 COVID fatalities yesterday. https://t.co/gmF392sq03"
1304795858530119680,2020-09-12 14:55:49,"Today's update on the numbers:

Of the 102,925 tests reported yesterday, 849 were positive (0.82% of total).

Total hospitalizations fell to 467.

Sadly, there were 2 COVID fatalities yesterday. https://t.co/V4B0cOb0ko"
1304505931217219584,2020-09-11 19:43:45,"Today I signed legislation reconstituting the September 11 Workers Protection Task Force Bill.

These brave men &amp; women selflessly put themselves at risk to help NY recover post-9/11.

They were there for NY—this bill ensures they receive all the care they need and deserve. https://t.co/DjsinvF0nz"
1304457916821323776,2020-09-11 16:32:57,"Today's update on the numbers:

Of the 89,722 tests reported yesterday, 880 were positive (0.98% of total).

Total hospitalizations are at 474.

Sadly, there were 5 COVID fatalities yesterday. https://t.co/hV1gIiLHFv"
1304443292604682241,2020-09-11 15:34:50,"Today as we have for the past nineteen 9/11 anniversaries we stand together in remembrance. 

#NeverForget https://t.co/AxXDBSCXur"
1304400499282776067,2020-09-11 12:44:48,Never Forget. https://t.co/2gudUk4r6I
1304087819976138753,2020-09-10 16:02:19,"Masks are required on all @MTA subways &amp; buses.

No rider has the right to endanger fellow riders by putting themselves above the law &amp; refusing to wear a mask. 

The vast majority of people are complying &amp; I thank them.

For the handful who refuse, there will be a new $50 fine."
1304085342585327617,2020-09-10 15:52:29,"Trump doesn't know when he's lying anymore.

He admitted on tape to Woodward he lied to Americans about COVID, costing thousands of lives.

Concerned about public safety, Trump?

1K Americans are dying a day from COVID—more than any other Western Country—b/c of your incompetence"
1304082263466967043,2020-09-10 15:40:14,"Today's update on the numbers:

Of the 76,813 tests reported yesterday, 757 were positive (0.98% of total).

Total hospitalizations are at 482.

Sadly, there were 7 COVID fatalities yesterday. https://t.co/dGqKpWij65"
1304078910045421568,2020-09-10 15:26:55,"Trump now criticizes me b/c I speak the truth. He can't handle it.

He said my COVID leadership was ""great,"" I was “working hard"" &amp; ""applauded"" me for my ""bold"" response.

FACT:  NYers flattened the curve
 
FACT: Trump's failed leadership &amp; incompetence cost thousands of lives"
1304043986257096709,2020-09-10 13:08:08,"The sky is orange over California. Half a million acres are burning.

This is what climate change looks like. The proof is right in front of us.

This is a national emergency — it's now or never. https://t.co/17CA4kSnui"
1303744894658371587,2020-09-09 17:19:39,"UPDATE: On September 30, indoor dining in NYC can resume at 25% capacity.

Strict restrictions will be in place. https://t.co/ORzwGM67PQ"
1303741908976570370,2020-09-09 17:07:48,"Today's update on the numbers:

Of the 63,230 tests reported yesterday, 576 were positive (0.91% of total).

Total hospitalizations are at 463.

Sadly, there were 3 COVID fatalities yesterday. https://t.co/rwDYj47DXp"
1303741241838825473,2020-09-09 17:05:09,In New York City holding a briefing. Watch Live: https://t.co/iw43Re56pu
1303725058226094081,2020-09-09 16:00:50,"I will be holding a briefing and making an announcement at 1:00pm ET. Watch here:
https://t.co/Fq5qEEPt23"
1303470769754734599,2020-09-08 23:10:23,"There are three ways to vote this year in NY:

1️⃣ By Absentee Ballot (You can either mail your ballot or drop it at any Early Voting or Election Day poll site, or at your local BOE by 9pm on Nov 3.)

2️⃣ By Voting Early (Oct 24-Nov 1)

3️⃣ By Voting In-Person on Election Day, Nov 3"
1303399568164487169,2020-09-08 18:27:27,"RT @NYGov: Today 4 states were added to NY's travel advisory.

Visitors traveling from Delaware, Maryland, Ohio and West Virginia must quar…"
1303370655526727680,2020-09-08 16:32:34,"Parents, teachers and students deserve the facts.

As students return to classrooms, NYS is requiring all school districts to report daily data on the COVID infection rate &amp; new cases at every school.

All this data will be publicly available online at https://t.co/VkitgEOo8L."
1303364468076937217,2020-09-08 16:07:59,"Reminder: All registered voters in New York can request an absentee ballot if they are concerned about in-person voting due to COVID. 

Apply for an absentee ballot today:

https://t.co/sVZk6N0XWm"
1303363692491345920,2020-09-08 16:04:54,"NEW: I'm signing an Executive Order allowing absentee ballots to be returned to drop boxes without a wait at 300+ locations statewide.

Ballots can be dropped off at your county BOE Office starting now, at Early Voting sites from Oct 24-Nov 1, &amp; at polling sites on Election Day."
1303359743029907457,2020-09-08 15:49:12,"For a month we have seen an infection rate below 1%, all while testing more than any state.

It wasn’t a miracle.

It was because of what New Yorkers did. Together. Nonstop.

Let’s stay #NewYorkTough."
1303358898536157184,2020-09-08 15:45:51,"Today's update on the numbers:

Of the 57,826 tests reported yesterday, 557 were positive (0.96% of total).

Total hospitalizations are at 445.

Sadly, there were 5 COVID fatalities yesterday. https://t.co/wUnOcXc7XF"
1303357227130994690,2020-09-08 15:39:12,In New York City holding a briefing. Watch Live: https://t.co/iorOWePfqk
