id,created_at,text
1144248346686738437,2019-06-27 14:17:19,Partisan gerrymandering is crippling our democracy and making Congress more polarized than ever before. It's deeply disappointing that the Supreme Court abdicated its responsibility to fix this problem and made it impossible for people to seek redress in the courts.
1143940572358615040,2019-06-26 17:54:20,"It’s becoming increasingly clear that ICE has become nothing more than a lethal weapon in the Trump Administration’s war on immigrants and communities of color, and we cannot be silent.

@SenJudiciary, it’s time for a hearing. https://t.co/H6WjSkrrRM"
1143626166428790784,2019-06-25 21:05:00,"Adding the #CitizenshipQuestion to the #2020Census was never about protecting voters or following DOJ’s orders. 

Period. 

Ross’ own staffer said the quiet part out loud.

https://t.co/EMd2O75GC0"
1143520682418024448,2019-06-25 14:05:50,"RT @hansilowang: NEW: In light of new estimate of lower #2020Census response among noncitizen households bc of #CitizenshipQuestion, member…"
1142084211983212544,2019-06-21 14:57:49,"For months, this Administration has led us on a march to war, with no off ramp. This is not reality television, where decisions are made in the pursuit of maximum drama."
1141752095378464772,2019-06-20 16:58:06,Glad the Senate is sending a resoundingly clear bipartisan message to this Administration that it cannot circumvent Congressional approval of arms sales. The US shouldn’t be a complicit partner in the harm inflicted on thousands of innocent Yemenis. https://t.co/xb7Sd7bDte
1141489457515913219,2019-06-19 23:34:29,"RT @HouseJudiciary: Thank you, @johnlegend for your support of #HR40! American Slavery is our country’s original sin, and reparations is a…"
1141444326347759616,2019-06-19 20:35:09,We cannot address the institutional racism and white supremacy that has economically oppressed African-Americans for generations without first fully documenting the extent of the harms of slavery and its painful legacy. #HR40 #Reparations https://t.co/sdCGcWJIte
1141359524688867329,2019-06-19 14:58:10,RT @JacksonLeeTX18: I’m in @HouseJudiciary listening to the powerful testimony of @SenBooker and many others as we hold a historic hearing…
1141358715095912449,2019-06-19 14:54:57,"RT @Lyncherator: ""I'm broken-hearted and angry...when you see how unfair this nation is to so many people...we as a nation much address the…"
1141357846833090560,2019-06-19 14:51:30,"RT @CBSNews: Sen. Cory Booker at reparations hearing: ""We as a nation have not yet acknowledged and grappled with racism and white supremac…"
1141351591922012160,2019-06-19 14:26:39,"Testifying right now in front of a @HouseJudiciary subcommittee on #HR40 and why Congress needs to establish a commission to study and develop #reparations proposals.

Watch LIVE: https://t.co/wSzn98Q5Hx"
1141315226639486983,2019-06-19 12:02:09,"Celebrating #Juneteenth by remembering those fearless leaders who fought for abolition, while recognizing the enormous work that remains to be done to achieve true freedom from economic inequity, mass incarceration, and racial disparities."
1141102772080787462,2019-06-18 21:57:56,RT @Ryan_Johnson: NEWS: @SenBooker set to testify on reparations before House Judiciary subcommittee tomorrow. https://t.co/SWgxSB1qFW
1140986287484260352,2019-06-18 14:15:04,Welcome news and a big sigh of a relief for Anna and her family. Home care services for New Jerseyans with disabilities shouldn’t be subject to such arbitrary and sudden cuts. https://t.co/rQV0KIUSU7
1139538985250971648,2019-06-14 14:24:00,I’m encouraged to see this legislation to study the issue gain support in Congress and the shared commitment my colleagues have in doing our part to repair the harm done to African-Americans.
1138917640917770240,2019-06-12 21:15:00,"NEW JERSEY! My staff will be answering your questions and helping you resolve any issues with the federal government at an event near you.

⬇️⬇️⬇️ https://t.co/gqikvM7Ok0"
1138888699926573057,2019-06-12 19:20:00,"Jon Stewart is right. Our first responders, many from New Jersey, responded to the 9/11 attacks in 5 seconds. 

In an instant, they made a sacrifice for our country for which we can never repay them. They did their jobs and it is time for Congress to start doing ours. https://t.co/1rbx0b8b8N"
1138844558777888768,2019-06-12 16:24:36,"""It's a love story, [@SenateGOP] just say yes"" https://t.co/tdR4XBfnWo"
1138777053279477760,2019-06-12 11:56:21,"RT @Change: @SenBooker, who co-introduced the Equality Act, just signed Taylor Swift's petition...and then @taylorswift thanked him on Inst…"
1138551974532648961,2019-06-11 21:01:58,RT @OCM_tweets: The seeds in my palm optimized the farm for large-scale machinery &amp; chemical regimens; they reduced the need for labor; the…
1138539772857782272,2019-06-11 20:13:29,RT @SophiaLalani: .@SenBooker “Khartoum has effectively become a city under siege by its own security forces” and is spiraling toward civil…
1137039648713314309,2019-06-07 16:52:32,"NJ West Point Cadet CJ Morgan leaves behind a legacy of courage and sacrifice. My thoughts and prayers go out to the Morgan family and all of those affected by this tragedy.

Full statement here: https://t.co/XQezmuizT6"
1137017621277073408,2019-06-07 15:25:00,"On National Gun Violence Awareness Day, #WearOrange to honor those whose lives have been taken by senseless and preventable gun violence. 

NJ @MomsDemand is hosting events across the state, find one near you: https://t.co/wPd4LOD9v5"
1136767661709451267,2019-06-06 22:51:45,"RT @SenWhitehouse: Today, the @washingtonpost published an investigation of Leonard Leo’s efforts to control our federal judiciary on behal…"
1136356381001474048,2019-06-05 19:37:28,"Each year Americans lose billions to some brokers who don't act in their best interest. Trump's SEC is making this worse. Today's rule weakens consumer protections, instead of strengthening them, and the SEC's claims otherwise are the height of deception. https://t.co/mF9k58IE4g"
1135931716709834752,2019-06-04 15:30:00,"As Muslims around the world gather to celebrate Eid al-Fitr with families, friends and loved ones today, I send heartfelt wishes for a joyous celebration! #EidMubarak"
1135191949495996416,2019-06-02 14:30:26,"As we begin #PrideMonth, let us all use our voices to ensure our laws don't discriminate based on who you are and who you love. It's time for the Senate to pass the #EqualityAct. 

@taylorswift13, we are so thrilled to have you as an ally. Who else is in? https://t.co/bgZZE60XE8"
1134889293875470343,2019-06-01 18:27:47,"Happy #PrideMonth, New Jersey!

As we celebrate our diversity and all the progress we’ve made to ensure equal rights for LGBTQ+ Americans, let’s also remember that the fight is ongoing and much work remains to be done 🌈 https://t.co/aLLidFwM76"
1134538447996235778,2019-05-31 19:13:39,"Last night, not one, but TWO New Jerseyans showed the dictionary who's boss. Congratulations, Shruthika and Christopher! 
https://t.co/o1OFuiemDI"
1134202852140888069,2019-05-30 21:00:07,"RT @SenatorDurbin: Thanks to my colleagues @ChuckGrassley, @SenBooker, and @SenMikeLee for joining me in a bipartisan effort to defeat this…"
1134184922904780802,2019-05-30 19:48:52,The racist and partisan origins of the citizenship question have been laid bare in federal court. It’s clear this administration has hijacked the 2020 Census for political gain. Congress must put a stop to this to ensure an accurate and apolitical census. https://t.co/V3rCC7AaQl
1131358418483187712,2019-05-23 00:37:21,"This is heartbreaking and horrifying news. DHS should not be allowed to just sweep it under the rug when immigrant children die in government custody.

Demanding DHS Sec appear before Congress and testify how they plan on preventing more deaths.
https://t.co/rvNeeKfUei"
1131322607083687937,2019-05-22 22:15:03,"Teaming up with @SenatorTester on our bill to halt Big Ag mergers that are devastating independent family farmers, ranchers and their communities. Read more here: https://t.co/iDu0tbMzQd https://t.co/DtVb7LNRgz"
1129480833155424256,2019-05-17 20:16:30,"65 years ago today, Chief Justice Warren delivered the opinion of the Supreme Court in Brown v. Board of Education:

""We conclude that in the field of public education the doctrine of 'separate but equal' has no place. Separate educational facilities are inherently unequal"" https://t.co/9fbITQGFUV"
1129154139626319873,2019-05-16 22:38:20,We need leaders at DOJ who understand problems of implicit bias in the justice system &amp; are dedicated to addressing it. Leaders who believe Brown v. Board was decided correctly. Mr. Rosen is not that leader &amp; that’s why I voted against his nomination for Deputy Attorney General.
1129059553012801541,2019-05-16 16:22:29,"Every American deserves access to clean air and water. No matter their zip code, the color of their skin, or the size of their income. https://t.co/CHiJhcub8I"
1128372110567661570,2019-05-14 18:50:49,"A big thank you breakfast today for the hard-working employees of the @uscapitol &amp; @SenateSAA who helped with our office move, and keep the Capitol up and running every single day. Thank you for all that you do! https://t.co/miWug47U7A"
1128342113207369728,2019-05-14 16:51:38,"RT @dannypatsmith: Filing @SenBooker’s PROTECT Immigration Act, which would repeal the 287(g) program https://t.co/0AWKOyPbJB"
1127995475364405251,2019-05-13 17:54:13,"RT @Lyncherator: In case you missed it, last year we released a really lovely podcast episode of Lift Every Voice featuring a heartwarming…"
1126506517190955010,2019-05-09 15:17:37,RT @SenMarkey: Thank you @SenBooker for co-sponsoring the anti-robocall #TRACEDAct! Senator Booker’s support brings us to *75* co-sponsors…
1126200353794301952,2019-05-08 19:01:02,"What’s super interesting about #BabySussex Archie … 
is that if we don’t take bold action to protect our environment, we won't have a healthy planet to pass onto future generations‼️(cc @brianschatz did we do that right?) https://t.co/vhiLBjKLyJ"
1126138506017947648,2019-05-08 14:55:17,"RT @dylanopalich: “How do you put a price on the loss of life?” @SenBooker asked.

⬇️⬇️⬇️
https://t.co/8oim7vjf6x via @TheRoot @AnneBranigin"
1126114089338658816,2019-05-08 13:18:15,RT @Lyncherator: NEWS 👇🏼 https://t.co/O7NKIg1Zpz
1126104799009804288,2019-05-08 12:41:20,"There is no acceptable reason why in America, black women are almost 4X more likely to die from pregnancy-related complications compared to white women. None. 

@RepPressley and I are introducing a bill to bring justice to maternal health care: https://t.co/Vz53Ydhmxu"
1125860214115373056,2019-05-07 20:29:27,"It’s been 1 year since the Trump admin. announced the zero tolerance immigration policy. Since then 3 children died at the border in US custody, that we know of. Their deaths cannot go unanswered. Where's the accountability? Immigrants deserve dignity too.
https://t.co/5TDq0aR7VM"
1125462320145022977,2019-05-06 18:08:21,"The 2019 @VMAS will be in NEWARK!! 💃🕺
https://t.co/kRLzXukn2z"
1125166551936774146,2019-05-05 22:33:05,"Wishing a peaceful, blessed Ramadan to all our Muslim communities observing the holy month. Ramadan Mubarak!"
1124378750421012484,2019-05-03 18:22:38,"We can’t take progress in criminal justice reform for granted. @SenatorDurbin @ChuckGrassley @SenMikeLee &amp; I wrote a letter opposing the Trump admin's attempts to make it harder for anyone with a prior record to get a job. People deserve a second chance.
https://t.co/Df9YxbLhYL"
1124095050902904832,2019-05-02 23:35:19,"Our government should never force toxic waste on local communities. Supporting @SenCortezMasto and @SenJackyRosen’s bill to give communities a voice on important decisions happening in their backyards.
https://t.co/05fZw4nuZN"
1123772692719706112,2019-05-02 02:14:23,"It's not #MayDay in NJ without a rally! So grateful for the New Jersey
labor unions that work tirelessly every day to protect and support working people and their families in our state. https://t.co/sx8NLZ7t5Z"
1123742119284363267,2019-05-02 00:12:54,Attorney General Barr's conduct has been unforgivable and he's burned through any credibility he had as Attorney General. He needs to resign. https://t.co/S88OWT2j6N
