id,created_at,text
1143621772463529984,2019-06-25 20:47:32,b'RT @dcexaminer: The U.S. froze about $100 billion in Iranian assets held in international accounts following the Iranian Revolution of 1979\xe2\x80\xa6'
1143610194280288258,2019-06-25 20:01:32,"b""RT @seanhannity: Ted Cruz let this Google executive have it. Conservatives are being targeted by Google and he wasn't going to let her off\xe2\x80\xa6"""
1143605896049758208,2019-06-25 19:44:27,"b'RT @dcexaminer: .@tedcruz: Of the senior executives at Google, do you know a single one that voted for Donald Trump?\n\n*Terse exchange\n\nGoog\xe2\x80\xa6'"
1143599939009896449,2019-06-25 19:20:47,"b'RT @NateOnTheHill: .@SenTedCruz asks  Google rep Maggie Stanphill at hearing whether the company considers itself a ""neutral public forum""\xe2\x80\xa6'"
1143587938292371462,2019-06-25 18:33:05,b'RT @SenTedCruz: Cruz bill would use Iran sanctions cash to pay for downed US drone https://t.co/RDe35yJoLX #FoxNews'
1143511544132710400,2019-06-25 13:29:32,b'Cruz bill would use Iran sanctions cash to pay for downed US drone https://t.co/RDe35yJoLX #FoxNews'
1143502617999552513,2019-06-25 12:54:04,b'Yesterday I filed an amendment to the National Defense Authorization Act that begins process forcing #Iran to pay f\xe2\x80\xa6 https://t.co/Emyj1EN9Nx'
1143279227413893120,2019-06-24 22:06:23,"b'Important @Kredo0 article about my new amendment, filed today, that would set up taking frozen Iranian funds and us\xe2\x80\xa6 https://t.co/6dGPyUwPGm'"
1143267020244443145,2019-06-24 21:17:53,b'Congress Seeks to Make Iran Pay For Downed American Drone via @freebeacon https://t.co/86kma0lQbt'
1143266398472409095,2019-06-24 21:15:24,"b'RT @Kredo0: SCOOP: Congress Seeks to Make Iran Pay For Downed American Drone -- New sanctions hit top Iranian officials, including Foreign\xe2\x80\xa6'"
1142171463388147713,2019-06-21 20:44:32,"b'I will continue to lead the fight to secure the border and get the job done, and urge my Democratic colleagues to join in that effort.'"
1142171462234791937,2019-06-21 20:44:31,"b'Additionally Congress should work to pass legislation closing loopholes in our asylum system, increasing the number\xe2\x80\xa6 https://t.co/IF15FTVYNd'"
1142171460720562178,2019-06-21 20:44:31,"b'We need real border security, including physical barriers to stop drug traffickers and human traffickers. We must e\xe2\x80\xa6 https://t.co/uksV3bA8U4'"
1142171103051296769,2019-06-21 20:43:06,"b""I am grateful for @GovAbbott's decision to send 1,000 troops from the Texas National Guard. It is long past time fo\xe2\x80\xa6 https://t.co/Z9YLra0269"""
1142170931831480322,2019-06-21 20:42:25,"b'In May, @CBP apprehended over 144,000 individuals \xe2\x80\x93 and if that pace continues, we\xe2\x80\x99re looking at nearly two million\xe2\x80\xa6 https://t.co/2uTG6TY6T4'"
1142170930849943552,2019-06-21 20:42:25,"b'In the past few months we have seen an astonishing number of apprehensions at our border, which has overwhelmed Tex\xe2\x80\xa6 https://t.co/EehChbT3K5'"
1142170929864347648,2019-06-21 20:42:24,"b'The security and humanitarian crisis at our southern border is one that Texas faces firsthand, and it only continue\xe2\x80\xa6 https://t.co/dJ2StPL6Vi'"
1142142576075689984,2019-06-21 18:49:44,b'ICYMI w @benshapiro: @timkaine &amp; I led efforts in the Senate to introduce an antisemitism resolution which passed u\xe2\x80\xa6 https://t.co/BJj2hLWxIG'
1142123633797672961,2019-06-21 17:34:28,"b'RT @JeremySWallace: In new press release Sen Ted Cruz says: ""On border security, what we are seeing is a crisis. As you know, we apprehende\xe2\x80\xa6'"
1142062202251333632,2019-06-21 13:30:22,b'Saddened to hear of the passing of @CityOfMissionTX PD Officer who was killed in the line of duty last night. Pleas\xe2\x80\xa6 https://t.co/WdAfJ6oLgu'
1142059891043000320,2019-06-21 13:21:11,b'This is a big step that pushes us closer to a healthcare system that works for all Americans -- affordable health i\xe2\x80\xa6 https://t.co/dN9DO3BSVN'
1142059890028032000,2019-06-21 13:21:10,"b""I applaud @realDonaldTrump &amp; his administration's recent announcement of his new rule to make health coverage more\xe2\x80\xa6 https://t.co/bdsA3xBKmG"""
1142059640747962368,2019-06-21 13:20:11,"b'U.S. Departments of Health and Human Services, Labor, and the Treasury Expand Access to Quality, Affordable Health\xe2\x80\xa6 https://t.co/sjkTn8Qt2n'"
1141812457637330947,2019-06-20 20:57:58,"b""RT @SenTedCruz: .@EPA's new Affordable Clean Energy rule is a tremendous step forward in eliminating burdensome regulations. ACE will repla\xe2\x80\xa6"""
1141811370792574976,2019-06-20 20:53:39,"b'RT @FRCdc: Well done, @SenTedCruz. Thank you for clarifying the extreme abortion position held by the Democratic party. @dcexaminer   https\xe2\x80\xa6'"
1141798085317804033,2019-06-20 20:00:51,b'Sen. Ted Cruz Wants to Pass A Constitutional Amendment to Put Term Limits on Members of Congress https://t.co/svhqurpOdt'
1141780982829387777,2019-06-20 18:52:54,"b'RT @SenTedCruz: EPA Finalizes Affordable Clean Energy Rule, Ensuring Reliable, Diversified Energy Resources while Protecting our Environmen\xe2\x80\xa6'"
1141771444751405056,2019-06-20 18:15:00,"b""Houston's George Bush Intercontinental Airport hits 50 years https://t.co/Q6k1iu5853 via @mySA"""
1141765048496513031,2019-06-20 17:49:35,"b'RT @WilsonWPA: The battle against BDS is being led by the pro-Israel community in the US, and it is important to note that it remains a bip\xe2\x80\xa6'"
1141752414195920896,2019-06-20 16:59:22,b'RT @ZOA_National: 4) Passing human shield legislation. 5) Unanimously passing a strong resolution on #antisemitism in the #Senate.  @SenTed\xe2\x80\xa6'
1141752382361092096,2019-06-20 16:59:15,"b'RT @ZOA_National: @SenTedCruz talking about 5 recent victories for Israel: 1) opening of the U. S embassy in Jerusalem, 2) withdrawal from\xe2\x80\xa6'"
1141751644683681792,2019-06-20 16:56:19,b'I was proud to lead the amicus brief with @SteveScalise on behalf of 84 Members of Congress to #SCOTUS.'
1141748132818149376,2019-06-20 16:42:22,"b'Today #SCOTUS ruled in favor of the WWI #PeaceCross memorial in Bladensburg, Maryland maintaining its position as a\xe2\x80\xa6 https://t.co/7Gy7YGATdT'"
1141721322168475648,2019-06-20 14:55:50,b'RT @FreedomWorks: A significant majority of Americans on both sides of the political spectrum support Congressional term limits! \n\nThankful\xe2\x80\xa6'
1141692331659341825,2019-06-20 13:00:38,"b"".@EPA's new Affordable Clean Energy rule is a tremendous step forward in eliminating burdensome regulations. ACE wi\xe2\x80\xa6 https://t.co/P7XIP4Ngur"""
1141692092814675969,2019-06-20 12:59:41,"b'EPA Finalizes Affordable Clean Energy Rule, Ensuring Reliable, Diversified Energy Resources while Protecting our En\xe2\x80\xa6 https://t.co/qE3czvXfoN'"
1141466009423044608,2019-06-19 22:01:18,"b'RT @josh_hammer: I\xe2\x80\x99m admittedly biased, but Matt Kacsmaryk\xe2\x80\x99s judicial confirmation today is just the latest example of how stellar the Texa\xe2\x80\xa6'"
1141450619548512265,2019-06-19 21:00:09,"b""In 2017, @JohnCornyn &amp; I were proud to recommend Matt's nomination to President Trump, and in return Matt has long\xe2\x80\xa6 https://t.co/DbdxopxbAB"""
1141450618093150209,2019-06-19 21:00:09,"b'As a passionate constitutionalist, Matt has served Texas well in his various professional and public service roles\xe2\x80\xa6 https://t.co/mWWlATHcea'"
1141450370784403456,2019-06-19 20:59:10,"b'I am glad to see the Senate vote today to confirm my good friend, Matt Kacsmaryk, to fill this crucial judicial vac\xe2\x80\xa6 https://t.co/fOv8MdgtwI'"
1141414928403877890,2019-06-19 18:38:20,b'I look forward to voting to advance her nomination so that she can take up her new post. --&gt; https://t.co/ZlGffEIXnD'
1141414926717804545,2019-06-19 18:38:19,"b'As Ambassador to Canada she worked tirelessly to deepen our relationship with this critical ally, and the Committee\xe2\x80\xa6 https://t.co/y4ujBPUpv1'"
1141414739513421824,2019-06-19 18:37:35,b'Ambassador Craft demonstrated today at the Senate Foreign Relations nomination hearing that she has the experience\xe2\x80\xa6 https://t.co/svonnbNbi3'
1141401038756429825,2019-06-19 17:43:08,b'I\xe2\x80\x99m a proud cosponsor of a Senate resolution honoring #Juneteenth. This day continues to serve as a stark reminder\xe2\x80\xa6 https://t.co/nyIPB2Eypo'
1141401036839706625,2019-06-19 17:43:08,"b'Today marks the 154th anniversary of #Juneteenth. On this day, U.S. Major General Gordon Granger delivered the long\xe2\x80\xa6 https://t.co/Q0AzJO512Y'"
1141359820425060353,2019-06-19 14:59:21,"b'RT @borderalliance: Thank you, @SenTedCruz, for making clear your opposition to tariffs against Mexico. Tariffs would significantly harm Te\xe2\x80\xa6'"
1141359803274530816,2019-06-19 14:59:17,"b'RT @borderalliance: Pleased to welcome @SenTedCruz this morning for an update on border affairs, trade. Thanks, @MayorPeteSaenz, for handli\xe2\x80\xa6'"
1141108609004244992,2019-06-18 22:21:07,b'RT @josh_hammer: .@tedcruz Proposes Important Amendment To Finally End Iran\xe2\x80\x99s Civil-Nuclear Waivers https://t.co/Ijw2AlTZRK'
1141104222492119042,2019-06-18 22:03:41,b'Tremendous progress being achieved in Port of Brownsville\xe2\x80\x99s project to deepen the Brownsville Ship Channel. I look\xe2\x80\xa6 https://t.co/9RhF9eyg0e'
1141099503476494337,2019-06-18 21:44:56,"b""About to join @benshapiro for a live interview to discuss today's @senjudiciary term limits hearing &amp; the Senate's\xe2\x80\xa6 https://t.co/iQQsZAWX74"""
1141094649437859840,2019-06-18 21:25:39,"b'ICYMI today at @senjudiciary Subcommittee on The Constitution\'s hearing on term limits: ""The American people recogn\xe2\x80\xa6 https://t.co/W1OIgWU1rz'"
1141080420085370886,2019-06-18 20:29:07,b'Watch Live: Ted Cruz Hosts Hearing on Term Limits https://t.co/XF6grB5mlC via @BreitbartNews'
1141059157166088194,2019-06-18 19:04:37,"b""RT @JimDeMint: How do we drain the swamp? Term limits is a start. I'll be testifying on this topic before @tedcruz's subcommittee today at\xe2\x80\xa6"""
1141053291650007041,2019-06-18 18:41:19,"b""As chairman of @senjudiciary's Subcommittee on The Constitution today @ 2:30pm CT I will convene a hearing titled,\xe2\x80\xa6 https://t.co/vpnPhmhr2e"""
1141048747616612355,2019-06-18 18:23:15,b'Last year I secured language requiring an evaluation of whether the resolution was being implemented &amp; now it\xe2\x80\x99s tim\xe2\x80\xa6 https://t.co/l745RBFri0'
1141047823884005379,2019-06-18 18:19:35,"b'United Nations Security Council Resolution 1701 required the Lebanese Armed Forces to disarm Hezbollah, and the Uni\xe2\x80\xa6 https://t.co/CWD4MtNCiG'"
1141018962123284480,2019-06-18 16:24:54,"b'RT @SBAList: @tedcruz @VoteMarsha Watch the full event on ""freedom of expression and online speech"" hosted by @washingtonpost here: https:/\xe2\x80\xa6'"
1141018950454718465,2019-06-18 16:24:51,b'RT @SBAList: Thank you Sen. @TedCruz for your continued leadership to protect free speech for #ProLife Americans \xf0\x9f\x93\xa3\n\n@VoteMarsha #LifeCensor\xe2\x80\xa6'
1140752552579018752,2019-06-17 22:46:17,b'Senator Cruz to Pelosi: Pass a House resolution condemning antisemitism https://t.co/xa48L1SoAy'
1140746686731608069,2019-06-17 22:22:58,"b'RT @SenTedCruz: The House should try again, and I call on @SpeakerPelosi to introduce and let the House vote on this strong, straightforwar\xe2\x80\xa6'"
1140746666871599111,2019-06-17 22:22:54,"b'RT @SenTedCruz: The House has thus far been unable to pass a similar resolution, and the last effort ended with them throwing everything th\xe2\x80\xa6'"
1140746649322557440,2019-06-17 22:22:49,"b'RT @SenTedCruz: Last week the Senate came together and in one voice condemned anti-Semitism as a unique prejudice with a unique history, wh\xe2\x80\xa6'"
1140734078905462784,2019-06-17 21:32:52,b'RT @postlive: \xe2\x80\x9cThe power being amassed by a handful of tech media companies...is a level of power unprecedented in our political discourse.\xe2\x80\xa6'
1140734058131054592,2019-06-17 21:32:47,"b'RT @postlive: While stemming the flow of violent, offensive content is the priority for many, some lawmakers see a pattern of political bia\xe2\x80\xa6'"
1140732232740540416,2019-06-17 21:25:32,"b'RT @washingtonpost: Watch live as Killer Mike, Sen. Ted Cruz, prominent Washington Post journalists and legal experts debate the biggest fr\xe2\x80\xa6'"
1140732161999458311,2019-06-17 21:25:15,"b""Hope y'all tune in now to watch my live remarks --&gt; https://t.co/1zmJXaH6s7 https://t.co/FERZJpgLGK"""
1140714341416734720,2019-06-17 20:14:27,b'RT @SteveScalise: .@SenTedCruz is right. I join him in calling on Pelosi to bring this to the House Floor immediately. With anti-Semitism o\xe2\x80\xa6'
1140712239927824385,2019-06-17 20:06:06,"b""RT @Kredo0: BREAKING: Trump Admin to Sanction Iran's Last European Lifeline -- New measures will hit network established to skirt toughest\xe2\x80\xa6"""
1140708743723835393,2019-06-17 19:52:12,b'Thanks to the @VoCommunism for highlighting @SenMarkey\xe2\x80\x99s &amp; my Hong Kong Policy Reevaluation Act. As #China continue\xe2\x80\xa6 https://t.co/5RNf9VUvFE'
