id,created_at,text
1303163764938813440,2020-09-08 02:50:27,"Steve Stockman's many friends appeal to #SCOTUS. 
""A measure of whether our highest court will say enough is enough and take on politicized lawbreaking by our government.""
Text FIGHT to 444999
https://t.co/6BEWf3uTrA 

@DanScavino @Scavino45 @realDonaldTrump @DonaldJTrumpJr"
1302431909897801729,2020-09-06 02:22:19,"""Important links to the sad case of former Rep. Steve Stockman (R-TX) that are well worth pondering.""
https://t.co/dm6HYu5Soh
Text 'FIGHT' to 44499

@DanScavino @Scavino45 @realDonaldTrump @DonaldJTrumpJr #maga #tcot"
1302426745208016896,2020-09-06 02:01:48,"""Important links to the sad case of former Rep. Steve Stockman (R-TX) that are well worth pondering.""

https://t.co/dm6HYu5Soh

Text 'FIGHT' to 44499
https://t.co/fXoIc7oe0K"
1293243809149616129,2020-08-11 17:52:06,Fmr Rep. Steve Stockman caught #Covid19 in prison --DENIED prescribed life saving treatments #Hydroxychloroquine #Zinc Help get Steve out! Learn more: https://t.co/boK4tv0lj5 Plz RT @DanScavino @Scavino45 @realDonaldTrump @DonaldJTrumpJr #MAGA #tcot https://t.co/QOeGxj8I8u
1291548422365904896,2020-08-07 01:35:14,"Steve Stockman hanging in there with #Covid19, but denied #hydroxychloroquine and zinc. Life still in danger, Get Steve Out. Plz RT https://t.co/2DFhH09vqJ
@realDonaldTrump @DanScavino @Scavino45 @DonaldJTrumpJr #MAGA #tcot https://t.co/LdLuKbhtkF"
1291178198915526656,2020-08-06 01:04:06,"Conservative fmr Rep. Steve Stockman got #COVID19 in prison while convicted murderer got to leave. Life in danger, prison refuses #Hydroxychloroquine &amp; other meds. Get Steve out. Plz RT
@realDonaldTrump @DanScavino @Scavino45 @DonaldJTrumpJr #MAGA #tcot

https://t.co/9vwqZl3N9d"
1290438443181527042,2020-08-04 00:04:34,"Fmr Rep. Steve Stockman has #COVID19 may die. Prison refuses to give Zinc&amp; #Hydroxychloroquine-critical to fight COVID! IMMEDIATE ACTION NEEDED-Get Steve Out Watch KFDM TV Report Plz RT https://t.co/boK4tv0lj5
@realDonaldTrump @DonaldJTrumpJr @DanScavino @Scavino45 @SidneyPowell1 https://t.co/6iRezh6qpk"
1290306622963638273,2020-08-03 15:20:46,"Fmr Rep. Steve Stockman has #COVID19, may die. Prison refuses to fill Zinc and #Hydroxychloroquine - most critical to combat COVID! IMMEDIATE ACTION NEEDED--Get Steve Out.
@realDonaldTrump @DonaldJTrumpJr @DanScavino @Scavino45 @SidneyPowell1 https://t.co/7hrl0Fdhx7"
1289368291039776768,2020-08-01 01:12:10,"Conservative champion former Rep Steve Stockman in federal prison in TX, was blocked from home confinement by someone high up. Now, Steve confirmed COVID-19. Some in the justice system want him dead. @SidneyPowell1 @realDonaldTrump @DonaldJTrumpJr #tcot 

https://t.co/6iBR0fvNMK"
1289325851054465024,2020-07-31 22:23:32,"Immediate prayer request! Steve Stockman learned yesterday positive for COVID, moved to isolation with others infected BUT GIVING NO medication. Steve had a hard time breathing last night. I’m VERY concerned. PRAY!!
@realDonaldTrump @DonaldJTrumpJr @SidneyPowell1 #tcot #MAGA"
1287955600991715328,2020-07-28 03:38:38,"#COVID19 increasing at Steve Stockman's prison, yet no progress on safe home confinement. Meanwhile unequal treatment-former Dem congressman released from fed prison! Who wants him free? Who wants Steve dead of Covid? @DonaldJTrumpJr @realDonaldTrump #tcot
https://t.co/sdMOqfUYiF"
