id,created_at,text
1356640882150297609,2021-02-02 16:29:26,"Make no mistake: This pandemic has set women back, with lifetime consequences. We need big, structural change to tackle this crisis head on—like universal child care, universal pre-k, and paid leave.
https://t.co/m2MDs3Dz8L"
1356360256293646340,2021-02-01 21:54:19,"Black history is American history. We celebrate the invaluable achievements of Black Americans who, in the face of hatred, injustice, and oppression, have never stopped fighting for a better tomorrow. #BlackHistoryMonth"
1356338289125556224,2021-02-01 20:27:02,"Look: Republicans in Congress shouldn’t be worried about a COVID relief bill that’s “too big.” They should be worried that people who need help right now won’t get it. Working families are hurting, and they need a government that fights for them."
1356310903155777536,2021-02-01 18:38:13,"We can’t let an inequitable vaccination process make the racial disparities of this pandemic even worse. @AyannaPressley, @EdMarkey, and I are demanding answers to make sure the communities that have been hit the hardest aren’t left behind.
https://t.co/ILpodVERPW"
1356260458689388547,2021-02-01 15:17:46,Canceling student loan debt would immediately put money in the pockets of millions of Americans. It would help dig our economy out of this crisis. And we don’t have to wait for Congress: the Biden-Harris administration can get it done with their executive authority.
1355911611333021700,2021-01-31 16:11:34,It’s snowing ❄️ https://t.co/7vdFLwJtjv
1355560084714221569,2021-01-30 16:54:43,"Climate change is the existential threat of our time. By officially declaring it a national emergency, the Biden-Harris administration can unlock more tools and resources to tackle this crisis head on."
1355264040147312648,2021-01-29 21:18:21,Millions of Americans have lost their jobs or had their hours cut because of this pandemic. Families are struggling to pay rent and put food on the table. They need real relief—and that’s what I’m fighting for.
1355231136264445953,2021-01-29 19:07:36,"When someone makes it really big in America—like top-one-tenth-of-one-percent big—they can afford to pay it forward with a two-cent wealth tax so we can invest in opportunity for everyone else, too."
1354938898334539779,2021-01-28 23:46:21,"In 2019, the bottom 99% paid about 7.2% of their total wealth in taxes. The top 1/10th of 1% paid about 3.2%. 

Enough is enough. It’s time for a wealth tax. https://t.co/qwScAbKIyu"
1354881668432191491,2021-01-28 19:58:56,It’s time for a wealth tax in America.
1354877242535530499,2021-01-28 19:41:21,I’ll be on @CNBCClosingBell around 3:30pm to talk about GameStop and how it’s long past time for regulators to wake up and prevent market manipulation in the future. I hope you’ll tune in.
1354816161708298244,2021-01-28 15:38:38,The @DSCC will be in good hands with my friend @GaryPeters — he’s going to fight tooth and nail to defend and expand our Senate majority because he always fights from the heart to be able to get things done for working people.
1354574226561368072,2021-01-27 23:37:17,"Let’s remember this: Up to 4 in 10 people with student loan debt weren’t able to graduate, many because of high costs, so now they’re in the worst of both worlds—crushed by debt, with no diploma to boost their earnings.

Canceling student loan debt would change their lives."
1354528822058766337,2021-01-27 20:36:51,@cmclymer It was great talking with you—and it is always an honor to fight by your side!
1354527990164684809,2021-01-27 20:33:33,"Over 700,000 people live in Washington, DC—more than Wyoming or Vermont. DC residents pay federal taxes. They serve in the military. And they deserve an equal voice in our government. I'm honored to co-sponsor the new #DCStatehood bill in the Senate today.
https://t.co/pBcVGDfCVb"
1354501326508535813,2021-01-27 18:47:36,"No one should have an incentive to turn a bigger profit by locking more people up. I’m glad to see the Biden-Harris administration phasing out private prisons at the federal level. Now let’s get rid of for-profit immigration detention centers, too. https://t.co/xrTpafLgnY"
